id,first_name,last_name,State,Product,Month,NRx,TRx
1,Bren,Clarridge,Virginia,Cholecap,1,11,104
2,Catharine,Latty,West Virginia,Cholecap,1,0,177
3,Charity,Wernher,Utah,Cholecap,1,3,183
4,Trevar,Orrocks,California,Cholecap,1,20,30
5,Marie-ann,Degoy,California,Cholecap,1,11,153
6,Reggie,Scoggan,California,Cholecap,1,13,129
7,Camala,Dosdale,Pennsylvania,Cholecap,1,18,165
8,Abran,Tonnesen,Idaho,Cholecap,1,18,197
9,Kelly,Toolan,Washington,Cholecap,1,8,73
10,Eada,Ingman,Florida,Cholecap,1,4,0
11,Nari,Sallings,Alabama,Cholecap,1,18,178
12,Marrissa,Rawsen,California,Cholecap,1,0,34
13,Gabby,Trevino,Texas,Cholecap,1,2,102
14,Jyoti,Pevie,California,Cholecap,1,13,156
15,Sonni,Gogan,Alabama,Cholecap,1,7,176
16,Adrea,Stockall,New York,Cholecap,1,16,2
17,Liliane,Raff,South Carolina,Cholecap,1,9,168
18,Tommie,Siemantel,Arkansas,Cholecap,1,19,186
19,George,Perrett,Ohio,Cholecap,1,20,45
20,Tomasine,Birdall,Kansas,Cholecap,1,16,59
21,Annalise,Dugood,Ohio,Cholecap,1,7,180
22,Harlan,Rodson,Washington,Cholecap,1,10,0
23,Richmound,Willshire,District of Columbia,Cholecap,1,5,168
24,Reynold,Blaszczyk,Texas,Cholecap,1,7,0
25,Craggy,Reaveley,Texas,Cholecap,1,7,31
26,Lotti,O'Shee,District of Columbia,Cholecap,1,4,166
27,Marv,Brennand,Ohio,Cholecap,1,19,156
28,Ignace,Kitchener,New York,Cholecap,1,14,48
29,Xever,Percival,Illinois,Cholecap,1,17,44
30,Aryn,Durdle,Colorado,Cholecap,1,7,94
31,Lauree,Fomichkin,Colorado,Cholecap,1,13,37
32,Grazia,Wrightam,California,Cholecap,1,4,196
33,Clarissa,Sadat,Mississippi,Cholecap,1,13,82
34,Ashlen,Paolazzi,Virginia,Cholecap,1,8,69
35,Elsie,Strangeway,Texas,Cholecap,1,17,138
36,Claudianus,Cabbell,Ohio,Cholecap,1,8,192
37,Zorina,Joincey,New York,Cholecap,1,9,7
38,Nilson,Charlson,Tennessee,Cholecap,1,4,43
39,Allina,Oldfield,Texas,Cholecap,1,18,169
40,Zachary,Letteresse,Arizona,Cholecap,1,15,94
41,Maris,Le Barre,New Jersey,Cholecap,1,11,169
42,Ludovico,Kilroy,South Dakota,Cholecap,1,20,12
43,Tedman,Weldon,Missouri,Cholecap,1,20,24
44,Asia,Danilyak,Pennsylvania,Cholecap,1,7,79
45,Corette,Buchanan,Missouri,Cholecap,1,4,39
46,Chico,Ritmeier,Georgia,Cholecap,1,7,165
47,Lynde,O'Cullinane,Texas,Cholecap,1,6,109
48,Vivia,Redborn,District of Columbia,Cholecap,1,6,84
49,Gene,Pollard,Indiana,Cholecap,1,17,145
50,Monti,Trett,Alabama,Cholecap,1,6,142
51,Andie,Gymlett,Massachusetts,Cholecap,1,18,83
52,Maia,Spriggin,California,Cholecap,1,2,157
53,Aleece,Holburn,District of Columbia,Cholecap,1,14,91
54,Aila,Tonna,Alabama,Cholecap,1,6,14
55,Vivianna,Mordin,Missouri,Cholecap,1,16,48
56,Carrie,Astbury,Massachusetts,Cholecap,1,9,5
57,Mommy,Grigoliis,California,Cholecap,1,18,51
58,Minor,Tattershall,Texas,Cholecap,1,9,79
59,Ade,Ballay,Massachusetts,Cholecap,1,19,154
60,Shannah,Giovannelli,Connecticut,Cholecap,1,11,20
61,Tirrell,Fritchley,Arizona,Cholecap,1,10,60
62,Nancee,Cane,Virginia,Cholecap,1,7,143
63,Elizabet,Dunster,Louisiana,Cholecap,1,14,157
64,Susannah,Nares,Georgia,Cholecap,1,15,184
65,Veradis,Letteresse,Utah,Cholecap,1,5,7
66,Sonnie,Coots,Nevada,Cholecap,1,16,157
67,Corabella,De Souza,California,Cholecap,1,12,91
68,Kristin,Camplen,Utah,Cholecap,1,6,109
69,Lucius,Lorenzetto,Illinois,Cholecap,1,14,56
70,Ernie,Jakaway,California,Cholecap,1,5,109
71,Rosy,Bubbings,Texas,Cholecap,1,8,155
72,Kelcey,McGrory,California,Cholecap,1,12,119
73,Lexine,Durden,California,Cholecap,1,20,134
74,Toiboid,Ellett,New York,Cholecap,1,13,79
75,Tris,Earl,Montana,Cholecap,1,10,103
76,Eldin,Mossbee,Nevada,Cholecap,1,15,93
77,Daisy,Luno,Pennsylvania,Cholecap,1,5,39
78,Silvie,Gurdon,Colorado,Cholecap,1,7,51
79,Toma,Dewhurst,Texas,Cholecap,1,5,74
80,Tabatha,Manton,Hawaii,Cholecap,1,3,41
81,Pearle,Peatheyjohns,Ohio,Cholecap,1,16,125
82,Cati,de Almeida,Oklahoma,Cholecap,1,7,121
83,Jourdain,Chalke,Florida,Cholecap,1,12,63
84,Cornelle,Venney,New York,Cholecap,1,12,72
85,Midge,Balden,Iowa,Cholecap,1,16,194
86,Jacquenette,Konzelmann,Colorado,Cholecap,1,19,184
87,Glenda,Lubeck,Texas,Cholecap,1,8,192
88,Salvatore,Hyde-Chambers,Massachusetts,Cholecap,1,12,25
89,Barnebas,Bladesmith,Texas,Cholecap,1,6,84
90,Ludvig,Gotliffe,Michigan,Cholecap,1,0,1
91,Otis,McBayne,Florida,Cholecap,1,2,141
92,Larissa,Gjerde,Texas,Cholecap,1,14,110
93,Christian,Sturgess,Texas,Cholecap,1,10,113
94,Martita,Bleackley,Wisconsin,Cholecap,1,9,7
95,Haleigh,Cuncliffe,Virginia,Cholecap,1,17,84
96,Kandace,Hartwell,Massachusetts,Cholecap,1,11,198
97,Ebba,Fagge,Mississippi,Cholecap,1,3,115
98,Codee,Sanpher,Colorado,Cholecap,1,2,95
99,Daveta,Jurgen,District of Columbia,Cholecap,1,10,128
100,Haleigh,Railton,Alaska,Cholecap,1,9,165
101,Roxine,Zettler,Arizona,Cholecap,1,2,136
102,Morena,Tredgold,Illinois,Cholecap,1,6,181
103,Davy,Gameson,Connecticut,Cholecap,1,13,31
104,Albertina,Dudek,District of Columbia,Cholecap,1,14,26
105,Halette,Muller,Massachusetts,Cholecap,1,18,37
106,Giana,Dykas,Ohio,Cholecap,1,6,39
107,Bryan,O'Donohue,California,Cholecap,1,11,40
108,Allistir,Cutting,Tennessee,Cholecap,1,19,172
109,Reginald,Coutts,California,Cholecap,1,20,66
110,Hattie,Flury,Michigan,Cholecap,1,7,152
111,Elias,Clericoates,Ohio,Cholecap,1,17,166
112,Mariellen,Derisly,Texas,Cholecap,1,10,64
113,Aila,Amyes,Washington,Cholecap,1,14,183
114,Vladimir,Zelland,Washington,Cholecap,1,4,146
115,Rebekkah,Klimus,Texas,Cholecap,1,4,39
116,Petey,Jindrich,Florida,Cholecap,1,10,199
117,Desiri,Warrilow,Texas,Cholecap,1,18,150
118,Kendre,De Bruin,Wisconsin,Cholecap,1,6,155
119,Creighton,Castellone,Florida,Cholecap,1,2,122
120,Sonya,Gownge,Texas,Cholecap,1,15,187
121,Donn,Riddall,New York,Cholecap,1,20,124
122,Idalina,Hlavecek,Washington,Cholecap,1,15,193
123,Brewster,Constance,North Carolina,Cholecap,1,13,32
124,Hazel,Hedderly,Florida,Cholecap,1,4,46
125,Bidget,Ramel,West Virginia,Cholecap,1,10,186
126,Franny,Frazier,Missouri,Cholecap,1,13,62
127,Lizette,Quernel,District of Columbia,Cholecap,1,12,38
128,Alina,Pogg,Virginia,Cholecap,1,4,138
129,Austin,Foulds,California,Cholecap,1,18,35
130,Norry,Forsyde,North Carolina,Cholecap,1,20,68
131,Karyn,Bolsover,Texas,Cholecap,1,3,173
132,Maynard,Caplen,Texas,Cholecap,1,15,186
133,Chiquia,Warham,Illinois,Cholecap,1,17,130
134,Selena,Girauld,Massachusetts,Cholecap,1,1,38
135,Melina,Boggis,Missouri,Cholecap,1,16,22
136,Karrah,Bradane,Alabama,Cholecap,1,6,29
137,Eleanor,Teresia,Massachusetts,Cholecap,1,19,145
138,Madge,Cregan,Colorado,Cholecap,1,5,83
139,Walden,Palliser,Alaska,Cholecap,1,0,111
140,Leonore,Winckworth,Florida,Cholecap,1,10,5
141,Monika,Pleat,South Carolina,Cholecap,1,5,16
142,Lucina,Wenden,Iowa,Cholecap,1,11,83
143,Carlie,McWhirter,North Carolina,Cholecap,1,0,78
144,Vicki,Bartell,Florida,Cholecap,1,16,16
145,Marcos,Felix,Georgia,Cholecap,1,2,104
146,Tamiko,O'Hagerty,Louisiana,Cholecap,1,13,0
147,Brand,Noden,Indiana,Cholecap,1,17,116
148,Wenonah,Campsall,Texas,Cholecap,1,20,96
149,Shell,August,Pennsylvania,Cholecap,1,14,31
150,Kelcey,Sackey,Florida,Cholecap,1,2,137
151,Salomon,De Witt,Maryland,Cholecap,1,13,126
152,Johna,Esseby,Georgia,Cholecap,1,9,80
153,Franzen,Kubasiewicz,Wisconsin,Cholecap,1,9,86
154,Elspeth,Tour,Tennessee,Cholecap,1,3,192
155,Virginie,Sager,California,Cholecap,1,16,171
156,Emalia,Frosdick,Illinois,Cholecap,1,7,57
157,Jeremias,Stotherfield,Florida,Cholecap,1,0,15
158,Freeland,Jenkins,Texas,Cholecap,1,8,55
159,Blakelee,Annandale,Ohio,Cholecap,1,7,171
160,Sherwood,Antliff,Oregon,Cholecap,1,16,71
161,Sile,Nanelli,Alaska,Cholecap,1,7,190
162,Zilvia,O'Teague,California,Cholecap,1,17,191
163,Gipsy,Petry,Georgia,Cholecap,1,0,170
164,Budd,Bozworth,California,Cholecap,1,0,78
165,Lettie,Vedekhin,Wisconsin,Cholecap,1,1,147
166,Loise,Dressell,Hawaii,Cholecap,1,2,29
167,Marketa,Keddle,Wisconsin,Cholecap,1,7,181
168,Fonsie,Sollon,Colorado,Cholecap,1,9,199
169,Carolee,Speke,California,Cholecap,1,0,113
170,Cynde,Cudihy,Pennsylvania,Cholecap,1,16,188
171,Judie,Macenzy,Florida,Cholecap,1,16,142
172,Cornela,Schoenfisch,Massachusetts,Cholecap,1,11,15
173,Dotty,Seakings,Pennsylvania,Cholecap,1,8,40
174,Cathrine,Tomaschke,Iowa,Cholecap,1,20,69
175,Marget,Bullar,Georgia,Cholecap,1,7,2
176,Luis,Carlo,Michigan,Cholecap,1,14,59
177,Genevra,Gilford,District of Columbia,Cholecap,1,20,5
178,Park,Seppey,New York,Cholecap,1,8,82
179,Raphaela,Garvey,Michigan,Cholecap,1,15,1
180,Renata,Morecomb,Indiana,Cholecap,1,0,165
181,Fanya,Dyment,Virginia,Cholecap,1,2,97
182,Farand,Wigin,California,Cholecap,1,0,159
183,Kathy,Taunton,Florida,Cholecap,1,4,82
184,Dniren,Hadlow,Illinois,Cholecap,1,4,178
185,Nicolais,Grewer,California,Cholecap,1,10,106
186,Teresina,Baterip,California,Cholecap,1,10,131
187,Harriett,Fevers,Florida,Cholecap,1,3,121
188,Dom,Mandrey,Illinois,Cholecap,1,4,80
189,Odelinda,Mullally,Arizona,Cholecap,1,14,165
190,Morey,Kumar,Florida,Cholecap,1,19,114
191,Virgil,Bushill,California,Cholecap,1,4,184
192,Nona,Dempster,Florida,Cholecap,1,13,89
193,Linus,Portchmouth,Minnesota,Cholecap,1,19,149
194,Claudette,Kevis,Georgia,Cholecap,1,6,45
195,Christiane,Whelband,Idaho,Cholecap,1,9,155
196,Izzy,Batsford,Texas,Cholecap,1,4,66
197,Evelina,D'Hooge,Delaware,Cholecap,1,16,123
198,Mackenzie,Paumier,Minnesota,Cholecap,1,19,170
199,Jody,McGenis,Florida,Cholecap,1,13,91
200,Ginevra,Ivens,Florida,Cholecap,1,11,76
201,Leon,Guilford,Florida,Cholecap,1,10,128
202,Jody,Eadmeades,South Carolina,Cholecap,1,13,34
203,Janice,Frickey,Illinois,Cholecap,1,0,129
204,Malia,Baitey,California,Cholecap,1,6,11
205,Kenon,McCaig,District of Columbia,Cholecap,1,10,35
206,Adan,Awcock,Texas,Cholecap,1,0,7
207,Justine,Devo,Maryland,Cholecap,1,0,184
208,Pauly,Kesley,Virginia,Cholecap,1,8,32
209,Saba,Alway,New Jersey,Cholecap,1,5,45
210,Leisha,Liebmann,New York,Cholecap,1,3,32
211,Kale,Kear,California,Cholecap,1,6,175
212,Maje,Santos,North Carolina,Cholecap,1,4,53
213,Sandy,Frascone,Ohio,Cholecap,1,20,135
214,Maxi,Caren,New York,Cholecap,1,1,90
215,Alisun,Gillet,Texas,Cholecap,1,13,66
216,Sebastiano,Cutmere,Michigan,Cholecap,1,7,129
217,Rosetta,Cathery,Florida,Cholecap,1,15,42
218,Darya,Bertin,Arizona,Cholecap,1,6,40
219,Bruce,Tawse,Oregon,Cholecap,1,9,29
220,Ashia,Colenutt,California,Cholecap,1,20,181
221,Mattie,Nisby,Ohio,Cholecap,1,3,38
222,Belinda,Syers,Arkansas,Cholecap,1,19,185
223,Kiley,Lindholm,Rhode Island,Cholecap,1,19,155
224,Carroll,Testin,New York,Cholecap,1,11,35
225,Sukey,Simonard,Texas,Cholecap,1,10,124
226,Christi,Corck,Georgia,Cholecap,1,10,83
227,Blane,Rekes,Oklahoma,Cholecap,1,9,38
228,Benedikt,Magog,Washington,Cholecap,1,9,37
229,Conan,Digan,Colorado,Cholecap,1,12,195
230,Genia,Aisman,New York,Cholecap,1,8,76
231,Jania,Cresswell,Delaware,Cholecap,1,10,28
232,Danika,Duligall,Massachusetts,Cholecap,1,16,187
233,Simone,Ingham,California,Cholecap,1,7,101
